record_id,record_revision,record_date,record_title,record_amount_pence,record_status,line_id,line_position,line_name,line_quantity,line_allocation_pence,line_detail,copy_count,copy_allocation_pence_sum
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-7ed24846-3015-420c-809c-d303eefcaa85,87,Gateway of the Six,1,19,SDWA-EN029 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-86009fc9-0cbf-412c-8f29-64c150b837fa,88,Great Shogun Shien,1,19,SDWA-EN009 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-904c9607-043c-41c4-99a5-460bf8bc12e4,89,Six Samurai United,2,38,SDWA-EN028 · 1st Edition · from Bulk lot · 130 card types,2,38
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-c8cd90dc-3369-48d1-b5b4-3084ac5775d4,90,Shien's Dojo,2,38,SDWA-EN032 · 1st Edition · from Bulk lot · 130 card types,2,38
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-2d5ebf8e-8e2f-4f8e-a08b-5bac4edd88dc,91,Musakani Magatama,1,19,SDWA-EN037 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-ce6a01c9-eb4d-45d1-a478-59d82f4d2e25,92,Legendary Six Samurai - Kizan,2,38,SDWA-EN016 · 1st Edition · from Bulk lot · 130 card types,2,38
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-dab75075-45b3-4766-9ed1-89d906ceb2db,93,Musakani Magatama,1,19,SDWA-EN037 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-c84d57ee-0baa-42d6-92ef-fa677daed590,94,The Six Samurai - Yaichi,2,38,SDWA-EN006 · 1st Edition · from Bulk lot · 130 card types,2,38
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-4d012f51-74a2-48bb-be72-9edf88f67e33,95,Double-Edged Sword Technique,2,38,SDWA-EN035 · 1st Edition · from Bulk lot · 130 card types,2,38
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-d628e2db-2254-44ed-90a7-a752fbbf46df,96,Summoned Skull,1,19,YGLD-ENA06 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-38124119-496e-46d2-bab6-a177f31bb132,97,Big Shield Gardna,1,19,YGLD-ENB14 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-f37e5ebb-3f28-4651-b39e-520d4c8225aa,98,Gazelle the King of Mythical Beasts,1,19,YGLD-ENB10 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-8c53bd32-de0d-4e3e-9d86-018f99f2f903,99,Berfomet,1,19,YGLD-ENB09 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-cb2733e2-aa04-471e-8cf8-5443c72441e5,100,Blockman,1,19,YGLD-ENC21 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-d5c166ff-74b8-45ba-aa20-9d90cd1c8c9a,101,Archfiend of Gilfer,1,19,YGLD-ENB05 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-3defb679-79b3-4892-b9b5-b1ed1d9eac42,102,Gandora the Dragon of Destruction,1,19,YGLD-ENC03 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-2cf599ff-098f-4fcb-bc9f-b308a7bfee1d,103,Mystical Elf,1,19,YGLD-ENA14 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-64f0bee8-a87d-4e87-8ec8-92e0e3c2d0e0,104,Marshmallon,1,19,YGLD-ENC22 · 1st Edition · from Bulk lot · 130 card types,1,19
record-923cfdff-eda5-46b4-af3d-614a39481363,2,2026-08-04,300 card bulk,5608,active,line-090739c6-4897-427d-a987-e29879ede0c0,105,The Tricky,1,19,YGLD-ENC12 · 1st Edition · from Bulk lot · 130 card types,1,19
